127.0.0.1 - - [13/Jan/2019:17:43:23 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:23 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:23 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:23 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:23 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:23 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:23 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:23 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:39 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3431
127.0.0.1 - - [13/Jan/2019:17:43:40 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:40 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:40 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:40 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:40 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:40 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:40 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:40 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:43:41 +0100] "GET /Acme-Handy-Worker/images/arrow_down.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:06 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3431
127.0.0.1 - - [13/Jan/2019:17:44:07 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:07 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:07 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:07 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:07 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:07 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:07 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:07 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:08 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3431
127.0.0.1 - - [13/Jan/2019:17:44:08 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:08 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:08 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:08 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:08 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:08 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:08 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:44:08 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:14 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3547
127.0.0.1 - - [13/Jan/2019:17:46:14 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:15 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:15 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:15 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:15 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:15 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:15 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:15 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:36 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3547
127.0.0.1 - - [13/Jan/2019:17:46:36 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:36 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:36 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:36 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:36 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:36 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:36 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:36 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:39 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3547
127.0.0.1 - - [13/Jan/2019:17:46:39 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:39 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:39 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:39 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:39 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:39 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:39 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:46:39 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:47:04 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3569
127.0.0.1 - - [13/Jan/2019:17:47:04 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:47:04 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:47:04 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:47:04 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:47:04 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
